City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bluff,-46.6,168.3333,49.8,84,71,9.57,NZ,1633810712
Sheridan,44.8333,-106.9173,51.98,89,90,5.99,US,1633810712
Sioux Lookout,50.1001,-91.917,64.78,82,75,5.75,CA,1633810712
Cape Town,-33.9258,18.4232,61.12,62,0,10.36,ZA,1633810624
Albany,42.6001,-73.9662,65.68,69,100,3.0,US,1633810457
Ushuaia,-54.8,-68.3,51.46,66,40,6.91,AR,1633810637
New Norfolk,-42.7826,147.0587,45.9,64,66,1.99,AU,1633810437
Puerto Cabezas,14.0351,-83.3888,87.76,70,75,6.91,NI,1633810713
Comodoro Rivadavia,-45.8667,-67.5,69.66,37,0,13.8,AR,1633810713
Petropavlovka,50.6114,105.3196,32.22,63,10,4.0,RU,1633810713
Vila Velha,-20.3297,-40.2925,69.75,83,75,2.3,BR,1633810714
Aklavik,68.2191,-135.0107,29.5,86,92,7.09,CA,1633810488
Maniitsoq,65.4167,-52.9,34.18,57,100,14.99,GL,1633810716
Constitución,-35.3333,-72.4167,58.19,74,28,7.36,CL,1633810716
Lüderitz,-26.6481,15.1594,63.9,58,53,18.34,NA,1633810717
Arcata,40.8665,-124.0828,67.19,63,1,1.01,US,1633810717
Kununurra,-15.7667,128.7333,75.18,69,23,3.44,AU,1633810717
Qaanaaq,77.484,-69.3632,28.38,82,100,14.92,GL,1633810717
Parkes,-33.1333,148.1833,61.36,73,46,0.96,AU,1633810718
Rikitea,-23.1203,-134.9692,74.05,82,100,18.12,PF,1633810430
Saint-Philippe,-21.3585,55.7679,71.19,85,43,15.05,RE,1633810719
San Andrés,12.5847,-81.7006,84.22,89,40,8.05,CO,1633810430
Ilulissat,69.2167,-51.1,30.22,47,20,6.91,GL,1633810719
Broome,42.2506,-75.833,68.02,64,90,1.99,US,1633810443
Camopi,3.1655,-52.3158,89.17,51,100,3.74,GF,1633810719
Port Blair,11.6667,92.75,79.16,85,100,18.01,IN,1633810720
Naze,28.3667,129.4833,76.8,75,30,20.0,JP,1633810720
Port Alfred,-33.5906,26.891,61.59,70,3,19.17,ZA,1633810177
Geraldton,-28.7667,114.6,45.01,87,0,4.61,AU,1633810720
Liuzhou,24.3126,109.3892,70.5,91,100,15.1,CN,1633810721
Gisborne,-38.6533,178.0042,56.95,82,61,9.55,NZ,1633810721
Vaini,-21.2,-175.2,77.16,83,20,3.44,TO,1633810431
Leningradskiy,69.3833,178.4167,15.66,95,99,4.5,RU,1633810721
Staryy Nadym,65.6118,72.6842,26.89,79,15,13.09,RU,1633810722
Kalmunai,7.4167,81.8167,80.78,72,100,4.27,LK,1633810722
Biak,-0.9131,122.8766,75.31,79,84,5.03,ID,1633810724
Vega de Alatorre,20.0333,-96.6333,83.98,72,42,9.6,MX,1633810725
Avarua,-21.2078,-159.775,77.05,65,20,8.05,CK,1633810725
Kupang,-10.1667,123.5833,76.1,82,49,4.23,ID,1633810725
Castro,-24.7911,-50.0119,56.5,99,100,6.22,BR,1633810725
Mar del Plata,-38.0023,-57.5575,55.42,66,0,17.0,AR,1633810429
Pevek,69.7008,170.3133,24.06,95,100,2.98,RU,1633810726
